race,award,winner,movie,birthplace,sexual_orientation,years_since_award,age_at_award
1,Best Actress,Meryl Streep,The Iron Lady,1,straight,8,63
1,Best Actress,Jennifer Lawrence,Silver Linings Playbook,1,na,7,23
1,Best Actress,Cate Blanchett,Blue Jasmine,0,straight,6,45
1,Best Supporting Actress,Gale Sondergaard,Anthony Adverse,1,straight,83,38
1,Best Supporting Actress,Alice Brady,In Old Chicago,1,straight,82,39
1,Best Supporting Actress,Fay Bainter,Jezebel,1,straight,81,40
0,Best Supporting Actress,Hattie McDaniel,Gone with the Wind,1,na,80,47
1,Best Supporting Actress,Jane Darwell,The Grapes of Wrath,1,straight,79,62
1,Best Supporting Actress,Mary Astor,The Great Lie,1,straight,78,63
1,Best Supporting Actress,Teresa Wright,Mrs. Miniver,1,straight,77,25
1,Best Supporting Actress,Katina Paxinou,For Whom the Bell Tolls,0,straight,76,44
1,Best Supporting Actress,Ethel Barrymore,None but the Lonely Heart,1,straight,75,66
1,Best Supporting Actress,Anne Revere,National Velvet,1,straight,74,43
1,Best Supporting Actress,Anne Baxter,The Razor's Edge,1,straight,73,44
1,Best Supporting Actress,Celeste Holm,Gentleman's Agreement,1,straight,72,31
1,Best Supporting Actress,Claire Trevor,Key Largo,1,straight,71,32
1,Best Supporting Actress,Mercedes McCambridge,All the King's Men,1,straight,70,34
1,Best Supporting Actress,Josephine Hull,Harvey,1,straight,69,35
1,Best Supporting Actress,Kim Hunter,A Streetcar Named Desire,1,straight,68,30
1,Best Supporting Actress,Gloria Grahame,The Bad and the Beautiful,1,straight,67,30
1,Best Supporting Actress,Donna Reed,From Here to Eternity,1,straight,66,33
1,Best Supporting Actress,Eva Marie Saint,On the Waterfront,1,straight,65,34
1,Best Supporting Actress,Jo Van Fleet,East of Eden,1,straight,64,42
1,Best Supporting Actress,Dorothy Malone,Written on the Wind,1,straight,63,32
0,Best Supporting Actress,Miyoshi Umeki,Sayonara,0,straight,62,33
1,Best Supporting Actress,Wendy Hiller,Separate Tables,0,straight,61,47
1,Best Supporting Actress,Shelley Winters,The Diary of Anne Frank,1,straight,60,40
1,Best Supporting Actress,Shirley Jones,Elmer Gantry,1,straight,59,27
0,Best Supporting Actress,Rita Moreno,West Side Story,0,straight,58,31
1,Best Supporting Actress,Patty Duke,The Miracle Worker,1,straight,57,17
1,Best Supporting Actress,Margaret Rutherford,the V.I.P.s,0,straight,56,72
1,Best Supporting Actress,Lila Kedrova,Zorba the Greek,0,straight,55,73
1,Best Supporting Actress,Shelley Winters,A Patch of Blue,1,straight,54,46
1,Best Supporting Actress,Sandy Dennis,Who's Afraid of Virginia Woolf?,1,bisexual,53,30
1,Best Supporting Actress,Estelle Parsons,Bonnie and Clyde,1,straight,52,41
1,Best Supporting Actress,Ruth Gordon,Rosemary's Baby,1,straight,51,73
1,Best Supporting Actress,Goldie Hawn,Cactus Flower,1,straight,50,25
1,Best Supporting Actress,Helen Hayes,Airport,1,straight,49,71
1,Best Supporting Actress,Cloris Leachman,The Last Picture Show,1,straight,48,46
1,Best Supporting Actress,Eileen Heckart,Butterflies Are Free,1,straight,47,54
1,Best Supporting Actress,Tatum O'Neal,Paper Moon,1,straight,46,55
1,Best Supporting Actress,Ingrid Bergman,Murder on the Orient Express,0,straight,45,60
1,Best Supporting Actress,Lee Grant,Shampoo,1,straight,44,49
1,Best Supporting Actress,Beatrice Straight,Network,1,straight,43,50
1,Best Supporting Actress,Vanessa Redgrave,Julia,0,straight,42,41
1,Best Supporting Actress,Maggie Smith,California Suite,0,straight,41,45
1,Best Supporting Actress,Meryl Streep,Kramer vs. Kramer,1,straight,40,31
1,Best Supporting Actress,Mary Steenburgen,Melvin and Howard,1,straight,39,32
1,Best Supporting Actress,Maureen Stapleton,Reds,1,straight,38,57
1,Best Supporting Actress,Jessica Lange,Tootsie,1,straight,37,34
1,Best Supporting Actress,Linda Hunt,The Year of Living Dangerously,1,na,36,35
1,Best Supporting Actress,Peggy Ashcroft,A Passage to India,0,straight,35,78
1,Best Supporting Actress,Anjelica Huston,Prizzi's Honor,1,straight,34,79
1,Best Supporting Actress,Dianne Wiest,Hannah and Her Sisters,1,straight,33,39
1,Best Supporting Actress,Olympia Dukakis,Moonstruck,1,straight,32,57
1,Best Supporting Actress,Geena Davis,The Accidental Tourist,1,straight,31,33
1,Best Supporting Actress,Brenda Fricker,My Left Foot,0,straight,30,45
0,Best Supporting Actress,Whoopi Goldberg,Ghost,1,straight,29,36
0,Best Supporting Actress,Mercedes Ruehl,The Fisher King,1,straight,28,44
1,Best Supporting Actress,Marisa Tomei,My Cousin Vinny,1,straight,27,45
1,Best Supporting Actress,Anna Paquin,The Piano,0,bisexual,26,12
